model_name,fold,num_estimators,type_split,balanced_accuracy,f1
Model 0,0,3,1,0.3333333333333333,0.16666666666666666
Model 1,0,3,1,0.3333333333333333,0.16666666666666666
Model 2,0,3,1,0.4666666666666666,0.3756613756613757
Majority Voting,0,3,1,0.4666666666666666,0.3756613756613757
Higher Belief,0,3,1,0.9666666666666667,0.9665831244778613
Baseline Model,0,3,1,0.9666666666666667,0.9665831244778613
Ensemble Model,0,3,1,0.3333333333333333,0.16666666666666666
Model 0,0,5,1,0.5666666666666667,0.47653000594177064
Model 1,0,5,1,0.3333333333333333,0.16666666666666666
Model 2,0,5,1,0.3333333333333333,0.16666666666666666
Model 3,0,5,1,0.3333333333333333,0.16666666666666666
Model 4,0,5,1,0.3333333333333333,0.16666666666666666
Majority Voting,0,5,1,0.5666666666666667,0.47653000594177064
Higher Belief,0,5,1,0.9666666666666667,0.9665831244778613
Baseline Model,0,5,1,0.9666666666666667,0.9665831244778613
Ensemble Model,0,5,1,0.3333333333333333,0.16666666666666666
Model 0,0,3,2,0.9,0.8997493734335841
Model 1,0,3,2,0.9,0.8976982097186702
Model 2,0,3,2,0.9666666666666667,0.9665831244778613
Majority Voting,0,3,2,0.9666666666666667,0.9665831244778613
Higher Belief,0,3,2,0.9666666666666667,0.9665831244778613
Baseline Model,0,3,2,0.9666666666666667,0.9665831244778613
Ensemble Model,0,3,2,0.9666666666666667,0.9665831244778613
Model 0,0,5,2,0.9333333333333332,0.9333333333333333
Model 1,0,5,2,0.9333333333333332,0.9326599326599326
Model 2,0,5,2,0.9666666666666667,0.9665831244778613
Model 3,0,5,2,0.9666666666666667,0.9665831244778613
Model 4,0,5,2,0.9333333333333332,0.9326599326599326
Majority Voting,0,5,2,0.9666666666666667,0.9665831244778613
Higher Belief,0,5,2,0.9333333333333332,0.9333333333333333
Baseline Model,0,5,2,0.9666666666666667,0.9665831244778613
Ensemble Model,0,5,2,0.9666666666666667,0.9665831244778613
Model 0,0,3,3,0.9333333333333332,0.9326599326599326
Model 1,0,3,3,0.9333333333333332,0.9326599326599326
Model 2,0,3,3,0.9666666666666667,0.9665831244778613
Majority Voting,0,3,3,0.9333333333333332,0.9326599326599326
Higher Belief,0,3,3,0.9333333333333332,0.9326599326599326
Baseline Model,0,3,3,0.9666666666666667,0.9665831244778613
Ensemble Model,0,3,3,0.9333333333333332,0.9326599326599326
Model 0,0,5,3,0.7333333333333334,0.7077308656256025
Model 1,0,5,3,0.9333333333333332,0.9326599326599326
