model_name,fold,num_estimators,type_split,balanced_accuracy,f1
Model 0,0,3,1,0.23319084430139667,0.47875188716083306
Model 1,0,3,1,0.29295512020022046,0.49855120388629137
Model 2,0,3,1,0.24016226986225261,0.44941099852226307
Majority Voting,0,3,1,0.269329437254318,0.5268514250752561
Higher Belief,0,3,1,0.3179658966816275,0.5623715223268795
Baseline Model,0,3,1,0.30489517858044785,0.5752778142372267
Ensemble Model,0,3,1,0.264101864091806,0.5405931924579266
Model 0,0,5,1,0.2809222752265456,0.5636299134206814
Model 1,0,5,1,0.22478279403030824,0.49524625918610077
Model 2,0,5,1,0.2663808177760129,0.46573406421115315
Model 3,0,5,1,0.20836398643600207,0.44892833630709517
Model 4,0,5,1,0.16666666666666666,0.256687636761488
Majority Voting,0,5,1,0.24204432247064003,0.5445255084589323
Higher Belief,0,5,1,0.34230589706479125,0.5999525507308076
Baseline Model,0,5,1,0.30489517858044785,0.5752778142372267
Ensemble Model,0,5,1,0.16666666666666666,0.256687636761488
Model 0,0,3,2,0.30970991453705976,0.5661822906298458
Model 1,0,3,2,0.36968720192324994,0.5338223208079005
Model 2,0,3,2,0.2518099916923125,0.510181590752243
Majority Voting,0,3,2,0.2916463546320147,0.5643574203518441
Higher Belief,0,3,2,0.3651388083374117,0.5659836090014027
Baseline Model,0,3,2,0.30489517858044785,0.5752778142372267
Ensemble Model,0,3,2,0.29657238225115695,0.5853193102843333
Model 0,0,5,2,0.30532726105819386,0.47702661021786985
Model 1,0,5,2,0.3467464677814411,0.5006030960200906
Model 2,0,5,2,0.2627607908500489,0.5445234059413646
Model 3,0,5,2,0.2607559081242914,0.5258881485824555
Model 4,0,5,2,0.3558987193621368,0.5320513287959812
Majority Voting,0,5,2,0.33077101261479674,0.567105362213562
Higher Belief,0,5,2,0.3955673030088227,0.5595391408772726
Baseline Model,0,5,2,0.30489517858044785,0.5752778142372267
Ensemble Model,0,5,2,0.2978270041642937,0.5819486379952583
Model 0,0,3,3,0.2361989194781309,0.516028067473429
Model 1,0,3,3,0.4293038363983533,0.5662077223875289
Model 2,0,3,3,0.37182744741512486,0.5373414595642374
Majority Voting,0,3,3,0.362709346757999,0.5490459533889042
Higher Belief,0,3,3,0.3640180542710861,0.5645420933802048
Baseline Model,0,3,3,0.30489517858044785,0.5752778142372267
Ensemble Model,0,3,3,0.2858636729383612,0.5769378226564499
Model 0,0,5,3,0.3592661049253383,0.5264221306725052
Model 1,0,5,3,0.3547826895310946,0.5410871409590117
Model 2,0,5,3,0.3300294455562,0.556867478547038
Model 3,0,5,3,0.29360134624014733,0.48989233193277315
Model 4,0,5,3,0.29597516924518474,0.5685157255881512
Majority Voting,0,5,3,0.3503725904948676,0.5671729722752614
Higher Belief,0,5,3,0.38857717644285833,0.567654324365301
Baseline Model,0,5,3,0.30489517858044785,0.5752778142372267
Ensemble Model,0,5,3,0.2917907594828682,0.5691738555635031
Model 0,1,3,1,0.2904564950980392,0.4342764550284347
Model 1,1,3,1,0.23750000000000002,0.46580771279110866
Model 2,1,3,1,0.3372855392156863,0.5554430581418359
Majority Voting,1,3,1,0.27300857843137255,0.5017903531881365
Higher Belief,1,3,1,0.35280330882352945,0.5666202045119715
Baseline Model,1,3,1,0.2774050245098039,0.5307867254936935
Ensemble Model,1,3,1,0.2631587009803921,0.5302552715907742
Model 0,1,5,1,0.3009037990196079,0.35113788963690035
Model 1,1,5,1,0.24955575980392156,0.39499423616036095
Model 2,1,5,1,0.249984681372549,0.32117970879207275
Model 3,1,5,1,0.17991727941176472,0.33162735849056607
Model 4,1,5,1,0.2568933823529412,0.42769001935120354
